Movie_Title,Storyline
Heretic,Two young Mormon women are drawn into a game of cat-and-mouse in the house of a strange man.
The Fall Guy,"A stuntman, fresh off an almost career-ending accident, has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job."
The Brutalist,A visionary architect flees post-war Europe in 1947 for a brighter future in the United States and finds his life forever changed by a wealthy client.
The Wild Robot,A sentient robot stranded on an uninhabited island raises an orphaned gosling while trying to fit in with the local wildlife.
Ordinary Angels,Inspired by the incredible true story of a hairdresser who single-handedly rallies an entire community to help a widowed father save the life of his critically ill young daughter.
We Live in Time,"After an unusual encounter, a talented chef and a recent divorcée fall in love and build the home and family they've always dreamed of, until a painful truth puts their love story to the test."
Road House,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems."
Mothers' Instinct,"Alice and Celine live a traditional lifestyle with successful husbands and sons of the same age. Life's perfect harmony is suddenly shattered after a tragic accident. Guilt, suspicion and paranoia combine to unravel their sisterly bond."
The Life of Chuck,"A life-affirming, genre-bending story about three chapters in the life of an ordinary man named Charles Krantz."
Juror #2,"While serving as a juror in a high-profile murder trial, a family man finds himself struggling with a serious moral dilemma, one he could use to sway the jury verdict and potentially convict or free the wrong killer."
Furiosa: A Mad Max Saga,"After being snatched from the Green Place of Many Mothers, while the tyrants Dementus and Immortan Joe fight for power and control, the young Furiosa must survive many trials as she puts together the means to find her way home."
Alien: Romulus,"While scavenging the deep ends of a derelict space station, a group of young space colonists come face to face with the most terrifying life form in the universe."
Blink Twice,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. As strange things start to happen, Frida questions her reality."
The Beekeeper,A former operative of a powerful organization embarks on a brutal campaign for vengeance.
Civil War,"In the midst of a U.S. civil war, four reporters make the dangerous trip to the capital to interview the president before he is overthrown."
I Saw the TV Glow,"In late-90s suburbia, a lonely teenager meets a girl at school who introduces him to a mysterious late-night T.V. show. As time goes on, however, questions begin to arise about why the show sometimes seems more real than their own lives."
Wicked,"Elphaba, a young woman ridiculed for her green skin, and Galinda, a popular girl, become friends at Shiz University in the Land of Oz. After an encounter with the Wonderful Wizard of Oz, their friendship reaches a crossroads."
Longlegs,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree."
Smile 2,"About to embark on a world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her past."
Caddo Lake,"When an 8-year-old girl disappears on Caddo Lake, a series of past deaths and disappearances begin to link together, altering a broken family's history."
Rebel Ridge,A former Marine grapples his way through a web of small-town corruption when an attempt to post bail for his cousin escalates into a violent standoff with the local police chief.
Eden,"Based on a factual account of a group of outsiders who settle on a remote island only to discover their greatest threat isn't the brutal climate or deadly wildlife, but each other."
Babygirl,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much-younger intern.
Madame Web,"Forced to confront her past, Cassandra Webb, a Manhattan paramedic that may have clairvoyant abilities, forms a relationship with three young women destined for powerful futures, if they can survive their threatening present."
Flow,"Cat is a solitary animal, but as its home is devastated by a great flood, he finds refuge on a boat populated by various species, and will have to team up with them despite their differences."
MaXXXine,"In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past."
Subservience,"A family man buys a domestic android after his wife's hospitalization. The android develops obsessive attachment, manipulates the household, eliminates perceived rivals, and ultimately attempts to claim his wife's heart literally."
A Complete Unknown,"In 1961, an unknown 19-year-old Bob Dylan arrives in New York City with his guitar and forges relationships with musical icons on his meteoric rise, culminating in a groundbreaking performance that reverberates around the world."
Carry-On,A mysterious traveler blackmails a young TSA agent into letting a dangerous package slip through security and onto a Christmas Eve flight.
Trap,A father and his teen daughter attend a pop concert only to realize they've entered the center of a dark and sinister event.
Megalopolis,"The city of New Rome faces the duel between Cesar Catilina, a brilliant artist in favor of a Utopian future, and the greedy mayor Franklyn Cicero. Between them is Julia Cicero, with her loyalty divided between her father and her beloved."
Tell Me What You Want,"After his father's death, Eric Zimmerman travels to Spain to oversee his company's branches. In Madrid, he falls for Judith and engage in an intense, erotic relationship full of exploration. Eric fears his secret may end their affair."
Abigail,"After a group of criminals kidnap the ballerina daughter of a powerful underworld figure, they retreat to an isolated mansion, unaware that they're locked inside with no normal little girl."
Sonic the Hedgehog 3,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched, Team Sonic must seek out an unlikely alliance."
Conclave,"When Cardinal Lawrence is tasked with leading the selection of a new Pope, he finds himself in a web of conspiracy and intrigue that could shake the very foundations of the Catholic Church."
Cellar Door,"Looking for a fresh start after a miscarriage, a couple find themselves being gifted the house of their dreams with one caveat - they can never open the cellar door. Whether they can live without knowing triggers shocking consequences."
Oddity,A psychic medium attempts to uncover the truth behind her sister's murder at the site of the crime.
The Count of Monte Cristo,"After escaping from an island prison where he spent 14 years for being wrongly accused of state treason, Edmond Dantès returns as the count of Monte Cristo to exact revenge on the men who betrayed him."
My Old Ass,"A mushroom trip brings free-spirited Elliott face-to-face with her 39-year-old self. But when Elliott's ""old ass"" delivers warnings to her younger self, Elliott realizes she has to rethink everything about her family, life and love."
Joker: Folie à Deux,"Struggling with his dual identity, failed comedian Arthur Fleck meets the love of his life, Harley Quinn, while incarcerated at Arkham State Hospital."
Borderlands,"An infamous bounty hunter returns to her childhood home, the chaotic planet Pandora, and forms an unlikely alliance with a team of misfits to find the missing daughter of the most powerful man in the universe."
Attack on Titan: The Last Attack,"The fate of the world hangs in the balance as Eren unleashes the ultimate power of the Titans. With a burning determination to eliminate all who threaten Eldia, he leads an unstoppable army of Colossal Titans towards Marley."
A Quiet Place: Day One,A young woman named Sam finds herself trapped in New York City during the early stages of an invasion by alien creatures with ultra-sensitive hearing.
Damsel,"A dutiful damsel agrees to marry a handsome prince, only to find the royal family has recruited her as a sacrifice to repay an ancient debt."
It Ends with Us,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended and she realizes she must learn to rely on her own strength to make an impossible choice for her future."
Despicable Me 4,"Gru, Lucy, Margo, Edith, and Agnes welcome a new member to the family, Gru Jr., who is intent on tormenting his dad. Gru faces a new nemesis in Maxime Le Mal and his girlfriend Valentina, and the family is forced to go on the run."
Kinds of Kindness,"A man seeks to break free from his predetermined path, a cop questions his wife's demeanor after her return from a supposed drowning, and a woman searches for an extraordinary individual prophesied to become a renowned spiritual guide."
Relay,A broker of lucrative payoffs between corrupt corporations and the individuals who threaten them breaks his own rules when a new client seeks his protection to stay alive.
Chief of Station,"After learning that the death of his wife was not an accident, a former CIA Station Chief is forced back into the espionage underworld, teaming up with an adversary to unravel a conspiracy that challenges everything he thought he knew."
We Bury the Dead,"After a military catastrophe leaves Tasmania filled with partially reanimated corpses, a volunteer searching for her missing husband abandons recovery operations and travels south through isolated communities collapsing beneath guilt."
Wolfs,"Two rival fixers cross paths when they're both called in to help cover up a prominent New York official's misstep. Over one explosive night, they'll have to set aside their petty grievances and their egos to finish the job."
The Order,A series of bank robberies and car heists frightens communities in the Pacific Northwest. A lone FBI agent believes that the crimes were not the work of financially motivated criminals but rather a group of dangerous domestic terrorists.
The Salt Path,A couple lose their home and later discover the husband has been diagnosed with a terminal illness as they embark on a year long coastal trek.
Snack Shack,"Nebraska City, 1991, two best friends get the chance to run the swimming pool snack shack, that later comes to be the perfect scenario for transgression, fun, personal discovery and romance."
Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana must journey to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced."
The Watchers,"A young artist gets stranded in an extensive, immaculate forest in western Ireland, where, after finding shelter, she becomes trapped alongside three strangers, stalked by mysterious creatures each night."
A Real Pain,"Mismatched cousins reunite for a tour through Poland to honor their beloved grandmother, but their old tensions resurface against the backdrop of their family history."
The Apprentice,"A young man took over his father's real-estate business in 1970s and '80s New York, and got the helping hand of an infamous closeted gay lawyer who helped him turn this young man into a notorious legend. Based on true events."
The Strangers: Chapter 1,"After their car breaks down in an eerie small town, a young couple is forced to spend the night in a remote cabin. Panic ensues as they are terrorized by three masked strangers who strike with no mercy and seemingly no motive."
Lazareth,"Lee protects her orphaned nieces Imogen and Maeve from a self-destructing world, raising them in isolation until an outsider threatens their peaceful existence."
Inside Out 2,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced."
The Thicket,"When a bounty hunter and a band of unlikely heroes pursue a brutal killer, they find themselves in a deadly no-man's-land known as The Thicket."
Brothers,"Two criminal twin brothers, one who is trying to reform, embark on a dangerous heist road trip. Facing legal troubles, gunfights, and family drama, they must reconcile their differences before their mission leads to self-destruction."
Kingdom of the Planet of the Apes,"Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for apes and humans alike."
Horizon: An American Saga - Chapter 1,"Chronicles a multi-faceted, 15-year span of pre-and post-Civil War expansion and settlement of the American west."
Maharaja,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds."
Beetlejuice Beetlejuice,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife."
The Instigators,Follows two robbers who must go on the run with the help of one of their therapists after a theft doesn't go as planned.
Bone Lake,"A couple's vacation at a secluded estate is upended when they're forced to share the mansion with a mysterious couple. A dream getaway spirals into a nightmarish maze of sex, lies, and manipulation, triggering a battle for survival."
Love Lies Bleeding,"Reclusive gym manager Lou falls hard for Jackie, an ambitious bodybuilder headed through town to Vegas in pursuit of her dream. But their love ignites violence, pulling them deep into the web of Lou's criminal family."
Exhuma,"Feng shui master Kim Sang-deok joins a shaman and a mortician to relocate a cursed ancestral grave, but the excavation unearths a colonial atrocity buried beneath the soil, forcing crew into a brutal confrontation with an immortal warrior."
Argylle,A reclusive author who writes espionage novels about a secret agent and a global spy syndicate realizes that the plot of the new book she's writing starts to mirror real-world events in real time.
Small Things Like These,In 1985 devoted father Bill Furlong discovers disturbing secrets kept by the local convent and uncovers shocking truths of his own.
Upgraded,"Ana, an ambitious intern at an art auction house in New York City, misrepresents herself to a handsome wealthy man as the director. As their romance develops, her deception creates challenges that threaten her career and relationship."
I'm Still Here,A woman married to a former politician during the military dictatorship in Brazil is forced to reinvent herself and chart a new course for her family after a violent and arbitrary act.
The Last Stand of Ellen Cole,Follow a nefarious land developer who gets more than he bargained for when he tries to intimidate an 80-year-old widow into abandoning her Montana ranch.
Milk & Serial,A surprise birthday prank takes a turn for the worse when a popular social media duo must face the reality of the terrifying aftermath.
The Room Next Door,"Ingrid and Martha were close friends in their youth, when they worked together at the same magazine. After years of being out of touch, they meet again in an extreme but strangely sweet situation."
Transformers One,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but who once were friends bonded like brothers who changed the fate of Cybertron forever."
It's What's Inside,"A group of friends gather for a pre-wedding party that descends into an existential nightmare when an estranged friend arrives with a mysterious game that awakens long-hidden secrets, desires and grudges."
Bad Boys: Ride or Die,"When their late police captain gets linked to drug cartels, wisecracking Miami cops Mike Lowrey and Marcus Burnett embark on a dangerous mission to clear his name."
Mufasa: The Lion King,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny."
IF,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.
Land of Bad,A Delta Force team fights for survival as an Air Force drone pilot becomes its eyes in the sky.
Godzilla X Kong: The New Empire,"Two ancient titans, Godzilla and Kong, clash in an epic battle as humans unravel their intertwined origins and connection to Skull Island's mysteries."
Here,"A generational story about families and the special place they inhabit, sharing in love, loss, laughter, and life."
Your Fault,"Despite their parents' efforts to separate them, Noah and Nick's love seems unbreakable. However, work and college open their lives to new relationships."
Strange Frequencies: Taiwan Killer Hospital,"Reality TV stars face mounting supernatural horrors while filming at haunted Xinglin Hospital in Taiwan. As paranormal activity intensifies, group dynamics crumble and a dark force manipulates their survival choices."
Terrifier 3,Art the Clown is set to unleash chaos on the unsuspecting residents of Miles County as they peacefully drift off to sleep on Christmas Eve.
Saturday Night,"At 11:30pm on October 11th, 1975, a ferocious troupe of young comedians and writers changed television forever. Find out what happened behind the scenes in the 90 minutes leading up to the first broadcast of Saturday Night Live (1975)."
Descendants: The Rise of Red,"After the Queen of Hearts incites a coup in Auradon, her rebellious daughter, Red, and Cinderella's perfectionist daughter, Chloe, must team up and travel in time to undo the traumatic event that drove a young Queen of Hearts to villainy."
Elevation,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.
Presence,A family becomes convinced they are not alone after moving into their new home in the suburbs.
September 5,"During the 1972 Summer Olympics in Munich, Germany, an American sports broadcasting team must adapt to live coverage of the Israeli athletes being held hostage by a terrorist group."
Kung Fu Panda 4,"After Po is tapped to become the Spiritual Leader of the Valley of Peace, he needs to find and train a new Dragon Warrior, while a wicked sorceress plans to re-summon all the master villains whom Po has vanquished to the spirit realm."
The Master and Margarita,"A writer's novel is banned and play canceled. He then conceives a satirical novel where a devil-like character metaphorically revenges those responsible. Knowing it cannot be published, his muse Margarita pushes him to write it anyway."
Bring Them Down,"An Irish shepherding family thrust into battle on several fronts: internal strife, hostility within the family, rivalry with another farmer. Paternalism, heritage, and the generational trauma cycle through the cultural prism of Ireland."
Red One,"After Santa Claus is kidnapped, the North Pole's Head of Security must team up with a notorious hacker in a globe-trotting, action-packed mission to save Christmas."
The Lord of the Rings: The War of the Rohirrim,"A sudden attack by Wulf, a clever and traitorous lord of Rohan seeking vengeance for the death of his father, forces Helm Hammerhand, the King of Rohan, and his people to make a daring last stand in the ancient stronghold of the Hornburg."
The Surfer,"A man returns to his childhood beach in Australia, but is forced into a fight for survival by a territorial group called the Bay Boys."
Horizon: An American Saga - Chapter 2,The continuation of one story of the settlement of the American west. It follows the further adventures of characters first featured in Horizon: An American Saga.
Fly Me to the Moon,"Marketing maven Kelly Jones wreaks havoc on NASA launch director Cole Davis's already difficult task. When the White House deems the mission too important to fail, the countdown truly begins."
Monkey Man,An anonymous young man unleashes a campaign of vengeance against the corrupt leaders who murdered his mother and continue to systematically victimize the poor and powerless.
Better Man,"A singular profile of pop superstar Robbie Williams, chronicling his meteoric rise, dramatic fall, and remarkable resurgence."
A Different Man,"An aspiring actor undergoes a radical medical procedure to drastically transform his appearance, but his new dream face quickly turns into a nightmare."
All of You,A stirring near-futuristic romance of two best friends who harbor an unspoken love for one another even after a test matches one of them up with their supposed soulmate.
The Assessment,"In the near future where parenthood is strictly controlled, a couple's seven-day assessment for the right to have a child unravels into a psychological nightmare."
Survive,A couple celebrates their son's birthday in the middle of the ocean on their boat. A violent storm hits and it brings up hungry creatures from the depths and they fight for their survival.
Friendship,A suburban dad falls hard for his charismatic new neighbor.
Shell,"Desperate to reclaim her career, an once-beloved actress is drawn into the glamorous world of a wellness mogul, only to uncover the monstrous truth beneath its flawless surface."
Damaged,Chicago detective Dan Lawson travels to Scotland to link up with Scottish detective Glen Boyd following the resurgence of a serial killer whose crimes match an unsolved case he investigated 5 years previously.
Azrael,"In a world where no one speaks, a devout female-led community hunts down a young woman who has escaped imprisonment. Recaptured, Azrael is due to be sacrificed to an ancient evil in the wilderness, but fights for her own survival."
Don't Move,"A seasoned killer injects a grieving woman with a paralytic agent. She must run, fight and hide before her body shuts down."
Parthenope,"A woman born in the sea of Naples in 1950 searches for happiness over the long summers of her youth, falling in love with her home city and its many memorable characters."
You Can't Run Forever,A teenage girl suffering from anxiety due to a tragic event from her past finds herself hunted through the woods by a sociopath on a murderous rampage.
Ghostbusters: Frozen Empire,"When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second ice age."
Salem's Lot,"An author returns to his hometown of Jerusalem's Lot in search of inspiration for his next book, only to discover that the townspeople are being attacked by a bloodthirsty vampire."
Slingshot,"An astronaut struggles to maintain his grip on reality aboard a possibly fatally compromised mission to Saturn's moon, Titan."
Homestead,"Amid chaos, ex-Green Beret joins prepper compound; love grows, truths arise, and a community unites."
Big World,"Liu Chunhe, a young man with cerebral palsy, overcomes physical and mental barriers while fulfilling his grandmother's dream and discovering his life's purpose, leading to transformation and a fresh start."
Spaceman,"Half a year into his solo mission on the edge of the solar system, an astronaut concerned with the state of his life back on Earth is helped by an ancient creature he discovers in the bowels of his ship."
The Killer's Game,"When a hitman is diagnosed with a terminal illness, he decides to take a hit out on himself. But when the very hitmen he hired also target his ex-girlfriend, he must fend off an army of assassin colleagues."
Drive-Away Dolls,"Jamie regrets her breakup with her girlfriend, while Marian needs to relax. In search of a fresh start, they embark on an unexpected road trip to Tallahassee. Things quickly go awry when they cross paths with a group of inept criminals."
Nightbitch,"A woman pauses her career to be a stay-at-home mom, but soon her domesticity takes a surreal turn."
Eephus,"Grown men's recreational baseball game stretches to extra innings on their beloved field's final day before demolition. Humor and nostalgia intertwine as daylight fades, signaling an era's end."
Fight or Flight,A mercenary takes on the job of tracking down a target on a plane but must protect that target when they're surrounded by people trying to kill both of them.
Reunion,"Snowbound at their high school reunion, former classmates uncover a murder and scramble to identify the killer among them before they're all iced out for good."
Lift,A female master thief and her ex-boyfriend who works for the FBI team up to steal $100M worth of gold bullion being transported on a 777 passenger flight from London to Zurich.
Ricky Stanicky,"When three childhood best friends pull a prank that goes wrong, they invent the imaginary Ricky Stanicky to get them out of trouble. Twenty years later, they still use the nonexistent Ricky as a handy alibi for their immature behavior."
The Damned,"A 19th-century widow has to make an impossible choice when, during an especially cruel winter, a foreign ship sinks off the coast of her Icelandic fishing village."
Queer,"In 1950s Mexico City, an American immigrant in his late forties leads a solitary life amidst a small American community. However, the arrival of a young student stirs the man into finally establishing a meaningful connection with someone."
On Swift Horses,"Muriel and her husband Lee are about to begin a bright new life, which is upended by the arrival of Lee's brother. Muriel embarks on a secret life, gambling on racehorses and discovering a love she never thought possible."
Miller's Girl,A creative writing assignment yields complex results between a teacher and his talented student.
The Killer,"After being betrayed by her master, a disillusioned assassin takes one final shot with the intention of using the money to help a musician she accidentally blinded regain vision."
Warriors of the Wasteland,"After the Last War, the truth lies in the eye of an ancient sword. Solitary drifter John traverses the dangerous wastelands, searching for his sister and the man who kidnapped her. The city waits."
Addition,"A woman counts everything because numbers hold her world together, but when a chance encounter with a man turns her world upside down, her meticulously ordered life starts to unravel."
The Six Triple Eight,"During World War II, 855 women joined the fight to fix the three-year backlog of undelivered mail. Faced with discrimination and a country devastated by war, they managed to sort more than 17 million pieces of mail ahead of time."
The Marching Band,A world-famous orchestra conductor discovers the brother he never knew he had — a school cafeteria worker who plays trombone in a local marching band.
The Silent Hour,A detective with hearing loss and a deaf witness to a murder must lean on each other to outsmart killers they can't hear coming when cornered in an abandoned apartment block.
Paddington in Peru,"Paddington returns to Peru to visit his beloved Aunt Lucy, who now resides at the Home for Retired Bears. With the Brown family in tow, a thrilling adventure ensues when a mystery plunges them into an unexpected journey."
No Other Land,This film made by a Palestinian-Israeli collective shows the destruction of the occupied West Bank's Masafer Yatta by Israeli soldiers and the alliance which develops between the Palestinian activist Basel and Israeli journalist Yuval.
Mean Girls,"Cady Heron is a hit with the Plastics, an A-list girl clique at her new school. But everything changes when she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George."
Thelma,"When 93-year-old Thelma Post gets duped by a phone scammer pretending to be her grandson, she sets out on a treacherous quest across the city to reclaim what was taken from her."
Sebastian,"Max, a 25-year-old aspiring writer living in London, begins a double life as a sex worker in order to research his debut novel."
Cuckoo,A 17-year-old is forced to move with her family to a resort where things are not what they seem.
Arcadian,A father and his twin teenage sons fight to survive in a remote farmhouse at the end of the world.
Night Swim,"A family moves into a new home, unaware that a dark secret from the house's past will unleash a malevolent force in the backyard pool."
Emilia Pérez,"It follows three remarkable women in Mexico, each pursuing their own happiness. Cartel leader Emilia enlists unappreciated lawyer Rita to help fake her death so that she can finally live authentically as her true self."
Strange Harvest,"Detectives are thrust into a chilling hunt for ""Mr. Shiny""-a sadistic serial killer from the past whose return marks the beginning of a new wave of grotesque, otherworldly crimes tied to a dark cosmic force."
Atlas,"In a bleak-sounding future, an A.I. soldier has determined that the only way to end war is to end humanity."
Memoir of a Snail,"A bittersweet memoir of a melancholic woman called Grace Pudel - a hoarder of snails, romance novels, and guinea pigs."
Ick,"Science teacher Hank's life changes when he reconnects with his first love and suspects a new student is his daughter, all while facing an alien threat in their town."
A Family Affair,"A surprising romance kicks off comic consequences for a young woman, her mother, and her movie-star boss as they face the complications of love, sex, and identity."
On Falling,"The story focuses on Aurora, a Portuguese worker in a Scottish warehouse, navigating loneliness and alienation in an algorithm-driven gig economy as she seeks meaning and connection amidst solitude and workplace confines."
Tarot,"When a group of friends recklessly violates the sacred rule of Tarot readings, they unknowingly unleash an unspeakable evil trapped within the cursed cards. One by one, they come face to face with fate and end up in a race against death."
Suncoast,"While caring for her brother along with her audacious mother, a teenager strikes up a friendship with an eccentric activist who is protesting one of the most landmark medical cases of all time."
Ghost Train,A YouTuber with the lowest number of views meets the station master of a mysterious subway station to find the source of a true horror story and encounters several strange stories.
Bramayugam,"Thevan, a folk singer of the Paanan caste, has a fateful encounter when escaping slavery, leading to him discovering an ancient traditional mansion altering his destiny."
Bob Trevino Likes It,"When lonely 20-something Lily Trevino accidentally befriends a stranger online who shares the same name as her own self-centered father, encouragement and support from this new Bob Trevino could change her life."
King Ivory,"Based upon extensive research with law enforcement, gangs, inmates, migrants, and addicts, an exposé on fentanyl trafficking, and its effect on all walks of life."
Ahsoka: The Patterson Cut,"Former Jedi Ahsoka Tano investigates Imperial remnants seeking to resurrect Grand Admiral Thrawn, who vanished with Jedi Ezra Bridger. This fan edit condenses the 2023 series' eight episodes into a two-and-a-half hour film."
Look Back,"The overly confident Fujino and the shut-in Kyomoto couldn't be more different, but a love of drawing manga brings these two small-town girls together."
Jackpot!,"In the near future, a 'Grand Lottery' has been newly established in California - the catch: kill the winner before sundown to legally claim their multi-billion dollar jackpot."
Heresy,"In a medieval Dutch village, a young woman is caught between her faith, fanatic townsfolk and the dark forces lurking in the woods."
The Seed of the Sacred Fig,"An investigating judge struggles with paranoia amid political unrest in Tehran caused by the death of a young woman. When his gun goes missing, he suspects his wife and daughters, imposing harsh measures that fray family ties."
A Sacrifice,"American social psychologist Ben Monroe investigates a local cult connected to a disturbing event, while his daughter becomes embroiled with a mysterious local boy."
Young Woman and the Sea,"The story of competitive swimmer Gertrude Ederle, who, in 1926, was the first woman to ever swim across the English Channel."
Sleeping Dogs,"An ex-homicide detective with memory loss is forced to solve a brutal murder, only to uncover chilling secrets from his forgotten past."
Blackwater Lane,Late one night a woman drives by a stranded motorist who is later revealed to have been murdered. After a series of terrifying events the woman believes she is the killer's next victim.
Shelby Oaks,A woman's obsessive search for her missing sister leads her into a terrifying mystery at the hands of an unknown evil.
Freaky Tales,"Four interconnected stories set in 1987 Oakland, CA. will tell about the love of music, movies, people, places and memories beyond our knowable universe."
Emmanuelle,"In search of a lost pleasure, Emmanuelle travels alone to Hong Kong on a business mission. In the vibrant and sensual global city, she indulges in intense encounters and new experiences."
Beverly Hills Cop: Axel F,Axel Foley returns to Beverly Hills after his daughter's life is threatened for a family reunion that includes old pals John Taggart and Billy Rosewood to uncover a conspiracy.
The Crow,"Soulmates Eric and Shelly are brutally murdered. Given a chance to save the love of his life, Eric must sacrifice himself and traverse the worlds of the living and the dead, seeking revenge."
The Exorcism,A troubled actor begins to exhibit a disruptive behavior while shooting a horror film. His estranged daughter wonders if he's slipping back into his past addictions or if there's something more sinister at play.
Dirty Angels,It centers on a group of female soldiers who disguise themselves as medics to rescue a group of teenagers caught between ISIS and the forces of the Taliban.
Get Away,A family's vacation to a remote getaway takes an unexpected turn when they discover that the island they're on is inhabited by a serial killer.
Bird,"Bailey lives with her brother Hunter and her father Bug, who raises them alone in a squat in northern Kent. Bug doesn't have much time to devote to them. Bailey looks for attention and adventure elsewhere."
The Last Showgirl,A seasoned showgirl must plan for her future when her show abruptly closes after a 30-year run.
Scoop,"An insider account of how BBC Newsnight obtained the bombshell interview with Prince Andrew about his friendship with convicted sex offender, Jeffrey Epstein."
Queen of the Ring,"In a time when pro wrestling for women was illegal all over the United States, a small town single mother embraces the danger as she dominates a peculiar American niche entertainment industry & becomes the first millionaire female athlete."
Between the Mountain and the Sky,"An inspiring story of love and resilience after tragedy strikes humanitarian Maggie Doyne, mother to over 50 Nepalese children."
Sidelined: The QB and Me,A headstrong dancer and a cocky quarterback fight against their feelings for each other as their post-grad future threatens to keep them apart.
Role Play,"Emma has a wonderful husband and two kids in the suburbs of New Jersey. She also has a secret life as an assassin for hire, a secret that her husband Dave discovers when the couple decide to spice up their marriage with a little role play."
The Deliverance,"An Indiana family discovers strange, demonic occurrences that convince them and their community that the house is a portal to hell."
Turtles All the Way Down,A teenager with OCD tries to solve a mystery surrounding a fugitive billionaire.
Unsung Hero,A mother's faith stands against all odds and inspires her husband and children to hold onto theirs. Based on a remarkable true story.
The Outrun,"After living life on the edge in London, Rona attempts to come to terms with her troubled past. Hoping to heal, she returns to the wild beauty of Scotland's Orkney Islands where she grew up."
